effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/!Klissan_malakai_travel_merc_chances				
wh3_dlc25_grudge_cycle_1	wh3_dlc25_effect_grudge_units_unlock_1_merc_repl_1	faction_to_faction_own	100.0000	start_turn_completed
wh3_dlc25_grudge_cycle_2	wh3_dlc25_effect_grudge_units_unlock_2_merc_repl_1	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh3_dlc25_grudge_cycle_2	wh3_dlc25_effect_grudge_units_unlock_2_merc_repl_2	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh3_dlc25_grudge_cycle_3	wh3_dlc25_effect_grudge_units_unlock_3_merc_repl_1	faction_to_faction_own_unseen	15.0000	start_turn_completed
wh3_dlc25_grudge_cycle_3	wh3_dlc25_effect_grudge_units_unlock_3_merc_repl_2	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh3_dlc25_grudge_cycle_3	wh3_dlc25_effect_grudge_units_unlock_3_merc_repl_3	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4	wh3_dlc25_effect_grudge_units_unlock_4_merc_repl_1	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4	wh3_dlc25_effect_grudge_units_unlock_4_merc_repl_2	faction_to_faction_own_unseen	15.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4	wh3_dlc25_effect_grudge_units_unlock_4_merc_repl_3	faction_to_faction_own_unseen	10.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4	wh3_dlc25_effect_grudge_units_unlock_4_merc_repl_4	faction_to_faction_own_unseen	5.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5	wh3_dlc25_effect_grudge_units_unlock_5_merc_repl_1	faction_to_faction_own_unseen	40.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5	wh3_dlc25_effect_grudge_units_unlock_5_merc_repl_2	faction_to_faction_own_unseen	30.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5	wh3_dlc25_effect_grudge_units_unlock_5_merc_repl_3	faction_to_faction_own_unseen	20.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5	wh3_dlc25_effect_grudge_units_unlock_5_merc_repl_4	faction_to_faction_own_unseen	10.0000	start_turn_completed
