effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/!Klissan_malakai_travel_shares				
wh3_dlc25_grudge_cycle_share_0	wh_main_faction_political_diplomacy_mod_dwarfs	faction_to_faction_own	-5.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_1	wh_main_faction_political_diplomacy_mod_dwarfs	faction_to_faction_own	5.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_2	wh_main_faction_political_diplomacy_mod_dwarfs	faction_to_faction_own	15.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_3	wh_main_faction_political_diplomacy_mod_dwarfs	faction_to_faction_own	25.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_4	wh_main_faction_political_diplomacy_mod_dwarfs	faction_to_faction_own	50.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_5	wh_main_faction_political_diplomacy_mod_dwarfs	faction_to_faction_own	100.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_1	wh_main_effect_province_growth_other	faction_to_province_own	10.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_2	wh_main_effect_province_growth_other	faction_to_province_own	20.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_3	wh_main_effect_province_growth_other	faction_to_province_own	30.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_4	wh_main_effect_province_growth_other	faction_to_province_own	40.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_5	wh_main_effect_province_growth_other	faction_to_province_own	50.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_0	wh_main_effect_public_order_grudges	faction_to_province_own	-1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_1	wh_main_effect_public_order_grudges	faction_to_province_own	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_2	wh_main_effect_public_order_grudges	faction_to_province_own	2.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_3	wh_main_effect_public_order_grudges	faction_to_province_own	3.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_4	wh_main_effect_public_order_grudges	faction_to_province_own	4.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_5	wh_main_effect_public_order_grudges	faction_to_province_own	5.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_0	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	100.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_1	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	50.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_2	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_3	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	25.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_4	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	50.0000	start_turn_completed
wh3_dlc25_grudge_cycle_share_5	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	100.0000	start_turn_completed
