key	text	tooltip
#Loc;1;text/klissan_malakai_missing_locs.loc		
rituals_display_name_klissan_malakai_travel_ritual	Travel	false
rituals_description_klissan_malakai_travel_ritual	Travel to friendly Dawi hold. Engines buildings chain provides a chance to fully restore action points	false
rituals_display_name_klissan_malakai_scout_ritual	Scout Province	false
rituals_description_klissan_malakai_scout_ritual	Scout nearby province (select region in adjacent province). Support Radius buildings chain allows to reveal more.	false
rituals_display_name_klissan_malakai_supplies_ritual	Reinforce Army	false
rituals_description_klissan_malakai_supplies_ritual	Reinforce friendly Dawi army. Quality and quantity of drafted units depends on military buildings	false
rituals_display_name_klissan_malakai_bombard_ritual	Air Raid	false
rituals_description_klissan_malakai_bombard_ritual	Bombard enemy settlement. Damage scales with Crew Training buildings chain	false
rituals_display_name_klissan_malakai_ale_ritual	Drink!	false
rituals_description_klissan_malakai_ale_ritual	Randomly (de)boost Malakai's army. Amount and Strength of effects depends on Beer Taps and Cargo Hold buildings chains. Might have some side effects on campaign and in battle.	false
campaign_group_rituals_unlock_text_klissan_malakai_campaign_groupklissan_malakai_travel_ritual	PLACEHOLDER	false
campaign_group_rituals_unlock_text_klissan_malakai_campaign_groupklissan_malakai_scout_ritual	PLACEHOLDER	false
campaign_group_rituals_unlock_text_klissan_malakai_campaign_groupklissan_malakai_supplies_ritual	PLACEHOLDER	false
campaign_group_rituals_unlock_text_klissan_malakai_campaign_groupklissan_malakai_bombard_ritual	PLACEHOLDER	false
campaign_group_rituals_unlock_text_klissan_malakai_campaign_groupklissan_malakai_ale_ritual	PLACEHOLDER	false
ui_info_ritual_target_criterias_localised_text_klissan_region_dwf_not_war	Friendly Dawi Region in TSoG range	false
ui_info_ritual_target_criterias_localised_text_ritual_target_force_malakai	Malakai Own Force	false
ui_info_ritual_target_criterias_localised_text_ritual_target_force_dwf_not_war	Friendly Dawi Army in TSoG Range	false
effect_bundles_localised_title_klissan_malakai_reveal_hidden_armies	PLACEHOLDER	false
effect_bundles_localised_description_klissan_malakai_reveal_hidden_armies	PLACEHOLDER	false
effect_bundles_localised_title_klissan_malakai_drink	Drink!	false
effect_bundles_localised_description_klissan_malakai_drink	Drink!	false
