campaign_potential	base_value	random_roll_lower_bound	random_roll_median	random_roll_upper_bound
#faction_potential_categories_tables;0;db/faction_potential_categories_tables/!Klissan_campaign				
combi_beastmen_khazrak	150	0	25	50
combi_beastmen_malagor	150	0	25	50
combi_beastmen_morghur	150	0	25	50
combi_beastmen_taurox	150	0	25	50
combi_bretonnia_alberic	150	0	25	50
combi_bretonnia_fayenchantress	150	0	25	50
combi_bretonnia_louen	150	0	25	50
combi_bretonnia_repanse	150	0	25	50
combi_cathay_miao_ying	150	0	25	50
combi_cathay_yuan_bo	150	0	25	50
combi_cathay_zhao_ming	150	0	25	50
combi_chaos_settled_archaon	150	0	25	50
combi_chaos_settled_azazel	150	0	25	50
combi_chaos_settled_belakor	150	0	25	50
combi_chaos_settled_festus	150	0	25	50
combi_chaos_settled_kholek	150	0	25	50
combi_chaos_settled_sigvald	150	0	25	50
combi_chaos_settled_valkia	150	0	25	50
combi_chaos_settled_vilitch	150	0	25	50
combi_chaosdwarfs_astragoth	150	0	25	50
combi_chaosdwarfs_conclave_of_sorcerers	175	0	25	50
combi_chaosdwarfs_drazhoath	150	0	25	50
combi_chaosdwarfs_zhatan	150	0	25	50
combi_daemonprince	150	0	25	50
combi_darkelf_hellebron	150	0	25	50
combi_darkelf_lokhir	150	0	25	50
combi_darkelf_malekith	150	0	25	50
combi_darkelf_malus	150	0	25	50
combi_darkelf_morathi	150	0	25	50
combi_darkelf_rakarth	150	0	25	50
combi_dwarf_belegar	150	0	25	50
combi_dwarf_grombrindal	150	0	25	50
combi_dwarf_thorek	150	0	25	50
combi_dwarf_throgrim	150	0	25	50
combi_dwarf_ungrim	150	0	25	50
combi_empire_franz	150	0	25	50
combi_empire_gelt	150	0	25	50
combi_empire_volkmar	150	0	25	50
combi_empire_wulfhart	150	0	25	50
combi_greenskin_azhag	150	0	25	50
combi_greenskin_grimgor	150	0	25	50
combi_greenskin_grom	150	0	25	50
combi_greenskin_skarsnik	150	0	25	50
combi_greenskin_wurrzag	150	0	25	50
combi_highelf_alarielle	150	0	25	50
combi_highelf_alithanar	150	0	25	50
combi_highelf_eltharion	150	0	25	50
combi_highelf_imrik	150	0	25	50
combi_highelf_teclis	150	0	25	50
combi_highelf_tyrion	150	0	25	50
combi_khorne_skarbrand	150	0	25	50
combi_kislev_boris	150	0	25	50
combi_kislev_katarin	150	0	25	50
combi_kislev_kostaltyn	150	0	25	50
combi_kislev_ostankya	150	0	25	50
combi_lizardmen_gorrok	150	0	25	50
combi_lizardmen_kroqgar	150	0	25	50
combi_lizardmen_mazdamundi	150	0	25	50
combi_lizardmen_nakai	150	0	25	50
combi_lizardmen_oxyotl	150	0	25	50
combi_lizardmen_tehenhauin	150	0	25	50
combi_lizardmen_tiktaqto	150	0	25	50
combi_minor	125	0	25	50
combi_minor_strong	150	0	25	50
combi_norsca_throgg	150	0	25	50
combi_norsca_wulfrik	150	0	25	50
combi_nurgle_kugath	150	0	25	50
combi_ogre_greasus	150	0	25	50
combi_ogre_skrag	150	0	25	50
combi_passive	100	0	25	50
combi_sentinels	175	0	25	50
combi_skaven_ikit	150	0	25	50
combi_skaven_queek	150	0	25	50
combi_skaven_skrolk	150	0	25	50
combi_skaven_snikch	150	0	25	50
combi_skaven_throt	150	0	25	50
combi_skaven_tretch	150	0	25	50
combi_slaanesh_nkari	150	0	25	50
combi_tombking_arkhan	150	0	25	50
combi_tombking_khalida	150	0	25	50
combi_tombking_khatep	150	0	25	50
combi_tombking_settra	150	0	25	50
combi_tzeentch_changeling	150	0	25	50
combi_tzeentch_kairos	150	0	25	50
combi_vampire_ghorst	150	0	25	50
combi_vampire_kemmler	150	0	25	50
combi_vampire_mannfred	150	0	25	50
combi_vampire_vlad	150	0	25	50
combi_vampirecoast_aranessa	150	0	25	50
combi_vampirecoast_cylostra	150	0	25	50
combi_vampirecoast_harkon	150	0	25	50
combi_vampirecoast_noctilus	150	0	25	50
combi_woodelf_drycha	150	0	25	50
combi_woodelf_durthu	150	0	25	50
combi_woodelf_orion	150	0	25	50
combi_woodelf_sisters	150	0	25	50
