key	text	tooltip
#Loc;1;text/db/mp_patch_mp_random_localisation_strings__.loc
random_localisation_strings_string_clan_vm	[[col:yellow]]Via Militera[[/col]] - largest Russian-speaking TW clan. \\n[[col:magic]]discord.com/invite/ANG9sR8Vpm[[/col]]	false
random_localisation_strings_string_clan_cb	[[col:yellow]]Crying Beastmen[[/col]] - Russian-speaking TW clan. \\n[[col:magic]]discord.gg/S8WJU5k2wz[[/col]]	false
random_localisation_strings_string_player_roflanbuldiga	Roflan: - No.\\nBuldiga: - Okay, fine.\\n Has his own youtube channel oriented for audience of all ages and languages.\\n[[col:magic]]youtube.com/@RoflanBuldiga[[/col]]	false
random_localisation_strings_string_player_lord_leaver	It is Wednesday, my dudes	false
random_localisation_strings_string_player_berrserk	The winner of TWWH Russian Championship 2023 in both domination and land battles. \\nBERRSERK has his own youtube channel oriented for russian-speaking audience.\\n[[col:magic]]youtube.com/@TotalWarriorsteam[[/col]]	false
random_localisation_strings_string_player_voins	A dwarf in disguise	false
random_localisation_strings_string_player_gapaktus	Where is RoR Tank, mr. GapaKtus ?!?!?!	false
random_localisation_strings_string_player_komerdinner	The dude who has his own YouTube channel about multiplayer battles in TWW. He wholeheartedly prefers LAND BATTLES!\\n[[col:magic]]youtube.com/@komerdinner12[[/col]]\\n[[col:magic]]discord.gg/8mkcEUGRSh[[/col]] 	false
random_localisation_strings_string_player_crabling	The leader of VM clan. Many-time Russian Championship winner. Has his channel dedicated to multiplayer battles.\\n[[col:magic]]youtube.com/@crabling[[/col]]	false
random_localisation_strings_string_player_risum	Russian streamer and caster oriented to Warhammer multiplayer battles. Member of the Quantum Hut.\\n[[col:magic]]youtube.com/@RisumTV[[/col]]\\n[[col:magic]]twitch.tv/risumtv[[/col]]\\n[[col:magic]]discord.gg/RacdztC[[/col]]	false
random_localisation_strings_string_player_akkeinn	Russian player. Play for fun and then all matches will be good.	false
random_localisation_strings_string_player_exul_et_ignotus	Average turvin enjoyer	false
random_localisation_strings_string_player_lunacy	Snegovichok	false
random_localisation_strings_string_player_not_alpharius	Open the gate!	false
random_localisation_strings_string_player_placeholder	PLACEHOLDER	false
